epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1158,1.6172,1.66018,0.9612,0.38674,0.51832,0.34399,0.1912,1.46751,2.6617,1.06162,0.000655172,0.000655172,0.000655172
2,36.4333,1.44392,0.91081,0.9149,0.03621,0.41026,0.02462,0.0129,1.76723,21.0949,1.25329,0.00132055,0.00132055,0.00132055
3,48.424,1.46809,0.87264,0.91269,0.70826,0.64471,0.6875,0.36528,1.67246,1.35787,1.2073,0.00198074,0.00198074,0.00198074
4,62.2671,1.44435,0.81259,0.91212,0.73384,0.6685,0.71403,0.37411,1.58498,1.32194,1.16418,0.00198246,0.00198246,0.00198246
5,76.1454,1.41769,0.83613,0.90827,0.81179,0.61619,0.72543,0.41213,1.6293,1.1669,1.16025,0.0019689,0.0019689,0.0019689
6,89.6288,1.34305,0.7561,0.89508,0.71532,0.64652,0.70606,0.40746,1.52849,1.0523,1.13294,0.00195155,0.00195155,0.00195155
7,101.063,1.37974,0.76946,0.90009,0.75837,0.71062,0.77286,0.44654,1.46261,0.96669,1.12819,0.00193048,0.00193048,0.00193048
8,115.036,1.3219,0.76313,0.89969,0.79223,0.73443,0.80105,0.45634,1.48795,0.99463,1.11276,0.00190578,0.00190578,0.00190578
9,128.879,1.32247,0.74274,0.89678,0.79281,0.68498,0.77919,0.46407,1.44146,1.02828,1.10299,0.00187754,0.00187754,0.00187754
10,142.098,1.27862,0.71955,0.89316,0.90017,0.69231,0.82245,0.5035,1.40436,0.90414,1.09686,0.00184588,0.00184588,0.00184588
11,153.72,1.23718,0.70095,0.88106,0.84177,0.72103,0.82277,0.47728,1.43549,0.89645,1.09919,0.00181093,0.00181093,0.00181093
12,166.949,1.2878,0.71265,0.88393,0.8277,0.70696,0.78655,0.47477,1.39254,0.8957,1.09022,0.00177281,0.00177281,0.00177281
13,180.431,1.24823,0.69473,0.88341,0.78391,0.74359,0.82285,0.49364,1.37957,0.85523,1.07408,0.00173168,0.00173168,0.00173168
14,194.315,1.20648,0.65688,0.87417,0.85462,0.73212,0.84564,0.54023,1.29389,0.80184,1.04957,0.0016877,0.0016877,0.0016877
15,206.016,1.18049,0.65979,0.87028,0.82497,0.75964,0.84354,0.50973,1.3232,0.80993,1.06264,0.00164105,0.00164105,0.00164105
16,219.179,1.19177,0.65226,0.87892,0.81973,0.73077,0.8101,0.50787,1.31203,0.82036,1.0613,0.00159191,0.00159191,0.00159191
